,date,title,price,condition,likes,url
0,2025-06-25,"i5 8th Gen, 16gb Ram, 1.27kg, Touchscreen, Thunderbolt 3, Lenovo X280 Budget Lightweight Portable Office Workstation Laptop with Windows 11 Pro Activated [Dell, Asus, HP, Acer]",S$220,Like new,123,https://www.carousell.sg/p/i5-8th-gen-16gb-ram-1-27kg-touchscreen-thunderbolt-3-lenovo-x280-budget-lightweight-portable-office-workstation-laptop-with-windows-11-pro-activated-dell-asus-hp-acer-1327767625/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=0
1,2025-06-25,"i5 12th Gen, 16gb Ram, 1.13kg, Touchscreen, Thunderbolt 3, 13.3 Inch Dell Latitude 7330 Budget Lightweight Portable Office Workstation Laptop with Windows 11 Pro Activated [Lenovo, Asus, HP, Acer]",S$450,Lightly used,10,https://www.carousell.sg/p/i5-12th-gen-16gb-ram-1-13kg-touchscreen-thunderbolt-3-13-3-inch-dell-latitude-7330-budget-lightweight-portable-office-workstation-laptop-with-windows-11-pro-activated-lenovo-asus-hp-acer-1372275990/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=1
2,2025-06-25,Offer🔥20gb ram core i7 lenovo thinkpad laptop pristine condition no issue with warrenty,S$380,Lightly used,0,https://www.carousell.sg/p/offer%F0%9F%94%A520gb-ram-core-i7-lenovo-thinkpad-laptop-pristine-condition-no-issue-with-warrenty-1376840167/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=2
3,2025-06-25,MSI GP 66 RTX3070 Laptop,S$840,Like new,1,https://www.carousell.sg/p/msi-gp-66-rtx3070-laptop-1376838063/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=3
4,2025-06-25,Offer🔥16gb ram core i7 10th gen Hp Elitebook laptop pristine condition no issues with warranty,S$498,Lightly used,1,https://www.carousell.sg/p/offer%F0%9F%94%A516gb-ram-core-i7-10th-gen-hp-elitebook-laptop-pristine-condition-no-issues-with-warranty-1376834045/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=5
5,2025-06-25,White colour replacement battery compatible with L12S4Z01 for Lenovo Notebook Laptop Ideapad S400 M40 S405 S410 S300 S310 S415,S$50,Brand new,0,https://www.carousell.sg/p/white-colour-replacement-battery-compatible-with-l12s4z01-for-lenovo-notebook-laptop-ideapad-s400-m40-s405-s410-s300-s310-s415-1376830461/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=6
6,2025-06-25,MacBook Air M1,S$500,Lightly used,0,https://www.carousell.sg/p/macbook-air-m1-1376829865/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=7
7,2025-06-25,(same day delivery) Genuine Lenovo 65W 20V 3.25A Laptop Adapter Charger Power for Lenovo IdeaPad 330 310 310s 320 320s 510s 520 520s 710s 720s,S$25,Brand new,23,https://www.carousell.sg/p/same-day-delivery-genuine-lenovo-65w-20v-3-25a-laptop-adapter-charger-power-for-lenovo-ideapad-330-310-310s-320-320s-510s-520-520s-710s-720s-1366694139/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=8
8,2025-06-25,"RTX4060 Ryzen 7 7840HS/16GB/1TB SSD/15.6"" QHD IPS 165Hz Aftershock Apex 15R Gaming Laptop [Warranty till Oct2026]","S$1,100",Like new,1,https://www.carousell.sg/p/rtx4060-ryzen-7-7840hs-16gb-1tb-ssd-15-6-qhd-ips-165hz-aftershock-apex-15r-gaming-laptop-warranty-till-oct2026-1376828499/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=9
9,2025-06-25,13 inch MacBook Air (BNIB-sealed),"S$1,300",Brand new,1,https://www.carousell.sg/p/13-inch-macbook-air-bnib-sealed-1376828360/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=10
