,date,title,price,url
0,6/24/2025,HP ZBOOK studio G3;Intel(R) Xeon CPU E3 -1505M V5 @2.80GHz Touchscreen GAMING LAPTOP. 32GB Ram 512 NVME SSD 16 GB graphics 4 GB dedicated graphics Nvidia quadioM1000M Screen RESOLUTION UHD graphics P530 Display 15.6 inches Super slim laptop.,S$499,https://www.carousell.sg/p/hp-zbook-studio-g3-intel-r-xeon-cpu-e3-1505m-v5-2-80ghz-touchscreen-gaming-laptop-32gb-ram-512-nvme-ssd-16-gb-graphics-4-gb-dedicated-graphics-nvidia-quadiom1000m-screen-resolution-uhd-graphics-p530-display-15-6-inches-super-slim-laptop-1376761921/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=0
1,6/24/2025,Lenovo Thinkpad 10th 16G +512G with Office,S$340,https://www.carousell.sg/p/lenovo-thinkpad-10th-16g-512g-with-office-1376761408/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=1
2,6/24/2025,Lenovo laptop L13 yoga touchscreen with stylus fast charge $190,$190 ,https://www.carousell.sg/p/lenovo-laptop-l13-yoga-touchscreen-with-stylus-fast-charge-190-1376761000/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=2
3,6/24/2025,MacBook Pro 16 Inch M2 Pro | Space grey | Great deal,"S$1,800",https://www.carousell.sg/p/macbook-pro-16-inch-m2-pro-space-grey-great-deal-1376760954/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=3
4,6/24/2025,"MacBook Pro 2021 M1 Pro A2485 , 16-Inch , 16GB , 512GB","S$1,500",https://www.carousell.sg/p/macbook-pro-2021-m1-pro-a2485-16-inch-16gb-512gb-1376760611/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=5
5,6/24/2025,PROMO Thinkpad X280 Lenovo i5 8Gen 16GB TOUCHSCREEN | HP elitebook dell chromebook macbook laptop office laptop acer asus zenbook,S$215,https://www.carousell.sg/p/promo-thinkpad-x280-lenovo-i5-8gen-16gb-touchscreen-hp-elitebook-dell-chromebook-macbook-laptop-office-laptop-acer-asus-zenbook-1325334644/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=6
6,6/24/2025,"🔥Payday Sale🔥Lenovo Thinkpad X1 Carbon Gen 8 | i7-10th Gen | 16GB RAM 512GB SSD | 14"" Touchscreen | Windows 11 Pro Microsoft Office Preloaded | Ultralight Premium Business Laptop thinkpad business laptop WFH laptop",S$629,https://www.carousell.sg/p/%F0%9F%94%A5payday-sale%F0%9F%94%A5lenovo-thinkpad-x1-carbon-gen-8-i7-10th-gen-16gb-ram-512gb-ssd-14-touchscreen-windows-11-pro-microsoft-office-preloaded-ultralight-premium-business-laptop-thinkpad-business-laptop-wfh-laptop-1365319153/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=7
7,6/24/2025,HP EliteBook 840 Gen 10 Business Laptop | 14.0” | i7-1355U vPro 32GB/1TB NVMe SSD | Windows 11 Pro Microsoft Office 2021,"S$1,199",https://www.carousell.sg/p/hp-elitebook-840-gen-10-business-laptop-14-0%E2%80%9D-i7-1355u-vpro-32gb-1tb-nvme-ssd-windows-11-pro-microsoft-office-2021-1355736919/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=8
8,6/24/2025,"Under 1Kg! Fujitsu LifeBook U9310 795grams Only! Ultra Thin & Light-Weight, Powerful i7-10th Gen Processor! 50 over sets sold! Grab Yours Now!",S$450,https://www.carousell.sg/p/under-1kg-fujitsu-lifebook-u9310-795grams-only-ultra-thin-light-weight-powerful-i7-10th-gen-processor-50-over-sets-sold-grab-yours-now-1297773812/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=9
9,6/24/2025,"MacBook Air 13-inch, 2024 M3 Chip, 512/8GB Midnight","S$1,214",https://www.carousell.sg/p/macbook-air-13-inch-2024-m3-chip-512-8gb-midnight-1375372244/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=10
10,6/24/2025,Aluminium Laptop stand,S$10,https://www.carousell.sg/p/aluminium-laptop-stand-1376755933/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=11
11,6/24/2025,Macbook Air 2020,S$480,https://www.carousell.sg/p/macbook-air-2020-1376755550/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=13
12,6/24/2025,Thinkpad E15 Gen 1 Lenovo Laptop | 15.6” | i5-10210U 16GB DDR4 RAM 256GB NVMe SSD | Windows 11 Pro / Office 2021,S$399,https://www.carousell.sg/p/thinkpad-e15-gen-1-lenovo-laptop-15-6%E2%80%9D-i5-10210u-16gb-ddr4-ram-256gb-nvme-ssd-windows-11-pro-office-2021-1329903937/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=14
13,6/24/2025,ipad air 11 inch (m2) magic keyboard,S$390,https://www.carousell.sg/p/ipad-air-11-inch-m2-magic-keyboard-1376754894/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=15
14,6/24/2025,Lenovo ThinkPad P14s Gen 3 i7/16/512,S$999,https://www.carousell.sg/p/lenovo-thinkpad-p14s-gen-3-i7-16-512-1376754732/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=16
15,6/24/2025,Lenovo ThinkPad X12 Detachable Gen 1(Japan Keyboard) | Intel Core i5-1140G7/16GB Ram/256GB SSD | Windows 11 Pro + MS Office 2021 | 1 Month Shop Warranty,S$499.99,https://www.carousell.sg/p/lenovo-thinkpad-x12-detachable-gen-1-japan-keyboard-intel-core-i5-1140g7-16gb-ram-256gb-ssd-windows-11-pro-ms-office-2021-1-month-shop-warranty-1255133393/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=17
16,6/24/2025,Lenovo Thinkpad MT 20RS BU idea ❤️Core i5.10th gen ✅ 👌Model=MT -20RS ❤️RAM :- 16gb ✅ ❤️256 gb SSD,S$305,https://www.carousell.sg/p/lenovo-thinkpad-mt-20rs-bu-idea-%E2%9D%A4%EF%B8%8Fcore-i5-10th-gen-%E2%9C%85-%F0%9F%91%8Cmodel-mt-20rs-%E2%9D%A4%EF%B8%8Fram-16gb-%E2%9C%85-%E2%9D%A4%EF%B8%8F256-gb-ssd-1376751554/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=18
17,6/24/2025,Laptop cooler,S$10,https://www.carousell.sg/p/laptop-cooler-1364679315/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=19
18,6/24/2025,HP Intel Laptop - 14 inch Slim Laptop - Fast & Efficient - Windows OS + MS Office - Offer Deal In Store Now !! Best Promotion!,S$99,https://www.carousell.sg/p/hp-intel-laptop-14-inch-slim-laptop-fast-efficient-windows-os-ms-office-offer-deal-in-store-now-best-promotion-1376750671/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=20
19,6/24/2025,Multitasking Dell Latitude | 14” | Core i7 8th Gen | NVIDIA Graphics | RAM 32GB - SSD 512 GB - Windows 11 Pro - Microsoft office 2021,S$499,https://www.carousell.sg/p/multitasking-dell-latitude-14%E2%80%9D-core-i7-8th-gen-nvidia-graphics-ram-32gb-ssd-512-gb-windows-11-pro-microsoft-office-2021-1376750056/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=21
20,6/24/2025,"Brand New XPro Max 15.6"" Intel i7 Laptop - 10th Gen - Up to 512GB SSD + 24GB RAM - Latest Trendy Design - Win 11 + Free MS Office - New i7 Laptop - Sleek & Modern Design + Premium Quality !",S$559,https://www.carousell.sg/p/brand-new-xpro-max-15-6-intel-i7-laptop-10th-gen-up-to-512gb-ssd-24gb-ram-latest-trendy-design-win-11-free-ms-office-new-i7-laptop-sleek-modern-design-premium-quality-1376749292/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=22
21,6/24/2025,Brand New XPRO NOVA Intel i9 Laptop - 32GB RAM - 512GB SSD - 9th Gen i9 Processor - Type C Charging - Slim Design - Free MS Office - Price Drop Now - Fast Speed Laptop On Sale !,S$599,https://www.carousell.sg/p/brand-new-xpro-nova-intel-i9-laptop-32gb-ram-512gb-ssd-9th-gen-i9-processor-type-c-charging-slim-design-free-ms-office-price-drop-now-fast-speed-laptop-on-sale-1376749061/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=23
22,6/24/2025,i7 T14 Touchscreen Lenovo ThinkPad Business Laptop | 14”FHD IPS | i7-10610U 16GB 256/512/1TB | Wi-Fi 6 | Windows 11 Pro Microsoft Office 2021 Pro,S$599,https://www.carousell.sg/p/i7-t14-touchscreen-lenovo-thinkpad-business-laptop-14%E2%80%9Dfhd-ips-i7-10610u-16gb-256-512-1tb-wi-fi-6-windows-11-pro-microsoft-office-2021-pro-1374073582/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=26
23,6/24/2025,"13.3"" DELL i5-8GEN /16GB/256GB/1.2KG LIGHT WEIGHT SSD LAPTOP WITH LATEST WINDOWS 11 PRO MS OFFICE 2021",S$270,https://www.carousell.sg/p/13-3-dell-i5-8gen-16gb-256gb-1-2kg-light-weight-ssd-laptop-with-latest-windows-11-pro-ms-office-2021-1345954248/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=27
24,6/24/2025,Thermaltake Core P3 Snow Edition,S$300,https://www.carousell.sg/p/thermaltake-core-p3-snow-edition-1376748237/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=28
25,6/24/2025,"MacBook Pro (15-inch, 2017)",S$200,https://www.carousell.sg/p/macbook-pro-15-inch-2017-1376747938/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=29
26,6/24/2025,MacBook Air M3 13inch 16+256G 95new laptop notebook apple pc,"S$1,098",https://www.carousell.sg/p/macbook-air-m3-13inch-16-256g-95new-laptop-notebook-apple-pc-1376747681/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=30
